time,open,high,low,close,volume
2021-01-11 15:42:00,558.0953,558.14,557.78,558.01,4359
2021-01-11 15:41:00,557.96,558.065,557.88,558.065,718
2021-01-11 15:40:00,558.34,558.34,558.34,558.34,793
2021-01-11 15:39:00,558.835,558.835,558.5,558.75,1280
2021-01-11 15:37:00,558.43,558.75,558.405,558.75,17675
2021-01-11 15:36:00,558.08,558.08,558.04,558.04,581
2021-01-11 15:35:00,558.72,558.72,558.72,558.72,265
2021-01-11 15:34:00,558.07,558.07,558.07,558.07,523
2021-01-11 15:33:00,558.6,558.6,558.435,558.435,550
2021-01-11 15:32:00,558.1,558.67,558.1,558.67,1702
2021-01-11 15:31:00,557.725,558.51,557.725,558.51,843
2021-01-11 15:30:00,557.14,557.375,557.07,557.335,767
2021-01-11 15:29:00,557.29,557.475,556.97,557.09,1854
2021-01-11 15:28:00,556.99,557.29,556.96,557.28,454
2021-01-11 15:27:00,557.01,557.09,557.01,557.09,601
2021-01-11 15:26:00,557.02,557.02,556.485,557.02,793
2021-01-11 15:24:00,556.22,556.22,556.22,556.22,419
2021-01-11 15:23:00,556.1718,556.1718,555.74,555.74,810
2021-01-11 15:22:00,556.32,556.53,556.13,556.13,499
2021-01-11 15:20:00,557.18,557.19,556.62,556.62,970
2021-01-11 15:19:00,556.71,556.71,556.71,556.71,658
2021-01-11 15:17:00,557.49,557.71,557.15,557.15,2116
2021-01-11 15:14:00,557.44,557.51,557.44,557.51,384
2021-01-11 15:13:00,557.23,557.23,556.96,556.96,734
2021-01-11 15:11:00,557.36,557.36,557.36,557.36,247
2021-01-11 15:10:00,557.22,557.22,557.22,557.22,211
2021-01-11 15:09:00,557.685,557.685,557.685,557.685,166
2021-01-11 15:08:00,557.19,557.55,557.19,557.55,504
2021-01-11 15:07:00,556.5999,556.965,556.56,556.965,597
2021-01-11 15:06:00,556.95,557.13,556.85,557.1,1115
2021-01-11 15:05:00,557.13,557.13,556.74,556.95,804
2021-01-11 15:04:00,557.4,557.4,557.4,557.4,501
2021-01-11 15:03:00,557.46,557.46,557.46,557.46,215
2021-01-11 15:02:00,557.32,557.54,557.09,557.1,990
